,公司全称,英文名称,A股代码,A股简称,A股上市日期,省    份,城     市,所属行业,公司网址
szA_000983,山西西山煤电股份有限公司,"SHANXI XISHAN COAL AND ELECTRICITY POWER CO.,LTD",000983,西山煤电,2000-07-26,山西,太原市,B 采矿业,www.xsmd.com.cn
szA_000985,大庆华科股份有限公司,"DAQING HUAKE CO.,LTD",000985,大庆华科,2000-07-26,黑龙江,大庆市,C 制造业,www.huake.com
szA_000987,广州越秀金融控股集团股份有限公司,"GUANGZHOU YUEXIU FINANCIAL HOLDINGS GROUP CO., LTD",000987,越秀金控,2000-07-18,广东,广州市,J 金融业,www.yuexiu-finance.com
szA_000988,华工科技产业股份有限公司,HUAGONG TECH COMPANY LIMITED,000988,华工科技,2000-06-08,湖北,武汉市,C 制造业,www.hgtech.com.cn
szA_000989,九芝堂股份有限公司,"JIUZHITANG CO.,LTD",000989,九 芝 堂,2000-06-28,湖南,长沙市,C 制造业,www.hnjzt.com
szA_000990,诚志股份有限公司,"CHENGZHI  CO., LTD.",000990,诚志股份,2000-07-06,江西,南昌市,C 制造业,www.chengzhi.com.cn
szA_000993,福建闽东电力股份有限公司,"FUJIAN MINDONG ELECTRIC POWER CO.,LTD",000993,闽东电力,2000-07-31,福建,宁德市,D 水电煤气,www.mdep.com.cn
szA_000995,甘肃皇台酒业股份有限公司,"GANSU HUANGTAI WINE―MARKETING INDUSTRY CO.,LTD",000995,皇台酒业,2000-08-07,甘肃,武威市,C 制造业,www.huangtaichina.com
szA_000996,中国中期投资股份有限公司,CHINA CIFCO INVESTMENT CO.，LTD,000996,中国中期,2000-07-18,北京,北京市,F 批发零售,www.cifco996.com
szA_000997,福建新大陆电脑股份有限公司,"FUJIAN NEWLAND COMPUTER CO.,LTD",000997,新 大 陆,2000-08-07,福建,福州市,I 信息技术,www.newlandcomputer.com
szA_000998,袁隆平农业高科技股份有限公司,"YUAN LONGPING HIGH-TECH AGRICULTURE CO.,LTD",000998,隆平高科,2000-12-11,湖南,长沙市,A 农林牧渔,www.lpht.com.cn
szA_000999,华润三九医药股份有限公司,"China Resources Sanjiu Medical & Pharmaceutical Co., Ltd.",000999,华润三九,2000-03-09,广东,深圳市,C 制造业,www.999.com.cn
szA_001696,重庆宗申动力机械股份有限公司,"CHONGQING ZONGSHEN POWER MACHINERY CO.,LTD",001696,宗申动力,1997-03-06,重庆,重庆市,C 制造业,www.zsengine.com
szA_001896,河南豫能控股股份有限公司,"HENAN YUNENG HOLDINGS CO., LTD",001896,豫能控股,1998-01-22,河南,郑州市,D 水电煤气,www.yuneng.com.cn
szA_001979,招商局蛇口工业区控股股份有限公司,"CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO.,LTD",001979,招商蛇口,2015-12-30,广东,深圳市,K 房地产,www.shekou.com
